Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Needle SAT1 Hapto,SAT1,0.1308323,9.817695,2.574562,0.3593156,2.843032,3.64891,0.01761139,0.01683226,9.628107,3.0625,26.6712
Needle SAT1 Hapto,SAT1,0.1404462,7.947037,2.656511,0.4002579,2.693989,4.481212,0.01602822,0.01533219,7.813807,2.725,23.48387
Needle SAT1 Hapto,SAT1,0.1342225,9.277339,2.886766,0.3570907,2.806718,4.561181,0.01529834,0.01608006,9.095002,2.6825,26.49748
Needle SAT1 Hapto,SAT1,0.1773471,9.483,2.796755,0.3545522,2.447018,4.099518,0.01615678,0.01546253,9.319368,2.87,26.48517
Needle SAT1 Hapto,SAT1,0.1390717,9.352988,2.695095,0.3360111,2.669023,3.893659,0.01708563,0.01706617,9.233348,2.9775,27.86929
Needle SAT1 Hapto,SAT1,0.1727513,9.60602,2.548395,0.4011086,2.39279,3.459633,0.01451224,0.01319294,9.372913,3.2075,24.62704
Needle SAT1 Hapto,SAT1,0.1404853,9.714862,2.616825,0.3521811,2.694343,3.895713,0.01729465,0.0157224,9.51994,2.9925,26.64933
Needle SAT1 Hapto,SAT1,0.1888511,9.69457,2.590751,0.3707016,2.301787,3.516023,0.01698701,0.01544274,9.492714,3.185,25.42104
Needle SAT1 Hapto,SAT1,0.1821619,8.844994,2.912166,0.3856369,2.289392,4.380023,0.01362735,0.01429457,8.678565,2.7625,24.90924
Needle SAT1 Hapto,SAT1,0.1538347,10.22387,2.698343,0.3544537,2.775481,3.604989,0.01568529,0.01487818,9.9726,3.1025,26.3289
Needle SAT1 Hapto,SAT1,0.1997945,10.13506,2.739739,0.379207,2.337091,3.499003,0.01629922,0.01534413,9.862359,3.14,25.06583
Needle SAT1 Hapto,SAT1,0.1276765,7.375259,2.63814,0.3841811,2.756954,4.872828,0.01291737,0.01359515,7.302238,2.6625,24.72564
Needle SAT1 Hapto,SAT1,0.1453564,9.51497,2.742107,0.3655993,2.689771,4.183839,0.01735986,0.01652158,9.327155,2.8275,26.65975
Needle SAT1 Hapto,SAT1,0.1694573,9.19351,2.737869,0.3671584,2.572705,4.284359,0.01458139,0.01620155,9.070868,2.825,27.39262
Needle SAT1 Hapto,SAT1,0.1925109,9.35557,2.713735,0.3829936,2.267147,4.146429,0.01504011,0.01422641,9.132363,2.9,24.95751
Needle SAT1 Hapto,SAT1,0.1372121,9.679633,2.541258,0.362993,2.727283,3.529719,0.01518213,0.01444233,9.456596,3.1725,25.74056
Needle SAT1 Hapto,SAT1,0.1414424,9.997427,2.791011,0.3337476,2.720875,3.966107,0.01733054,0.01735949,9.806683,2.9175,28.27915
Needle SAT1 Hapto,SAT1,0.1711161,9.530119,2.605399,0.3464696,2.4582,3.945102,0.01551032,0.01527287,9.33946,3.015,27.48692
Needle SAT1 Hapto,SAT1,0.1624443,9.505889,2.876021,0.3774482,2.628206,4.087651,0.01345951,0.01376574,9.26102,2.9225,25.4288
Needle SAT1 Hapto,SAT1,0.1553918,9.063277,2.933461,0.3540413,2.484113,4.697709,0.01541202,0.01630386,8.896341,2.65,26.6151
Needle SAT1 Hapto,SAT1,0.1608516,9.117929,2.530146,0.3856845,2.561575,3.849934,0.01429454,0.01420522,8.925424,3.0525,25.12702
Needle SAT1 Hapto,SAT1,0.146919,9.994614,2.889176,0.3561423,2.645813,4.093463,0.01765164,0.01672062,9.729122,2.86,26.68462
Needle SAT1 Hapto,SAT1,0.1762526,9.126106,2.745352,0.3838168,2.420686,3.9272,0.01610236,0.01534577,8.958796,2.925,25.03217
Needle SAT1 Hapto,SAT1,0.1507814,8.631576,2.824458,0.3912754,2.656307,4.250053,0.01532221,0.01598789,8.467927,2.805,25.28685
Needle SAT1 Hapto,SAT1,0.1631679,10.50378,2.534628,0.3422774,2.621119,3.571079,0.01653458,0.01562817,10.26866,3.135,27.89901
Needle SAT1 Hapto,SAT1,0.1577031,9.317956,2.649112,0.3924177,2.631599,3.491892,0.01519941,0.01513566,9.09493,3.1425,24.67474
Needle SAT1 Hapto,SAT1,0.1428892,8.500022,2.632001,0.3687442,2.713093,4.268302,0.0176869,0.01693651,8.407661,2.7775,25.66039
Needle SAT1 Hapto,SAT1,0.1483407,9.142249,2.849337,0.353136,2.643784,4.371417,0.01804191,0.01778024,9.01956,2.75,27.64335
