"ID","k","K","delta","b","r","nu","I0","A0","P0","vmax","tmax","cumviral","start"
"SAT1",0.346762,8.54436,1.35747,0.123112,3.60398,5.15569,3.22817,0.163327,0.007797,6.88902,3.5635,26.987,0.3585
"SAT1",0.273784,8.3022,1.62492,0.0902771,4.48293,5.34934,3.08461,0.195404,0.0087172,7.2865,2.99375,33.651,0.38625
"SAT1",0.380441,9.97928,1.75081,0.0947278,4.34579,7.52387,3.16912,0.206747,0.00808563,8.00236,3.40715,31.2335,0.35465
"SAT1",0.28923,8.43012,1.90759,0.0957208,5.44392,6.39041,3.67496,0.215252,0.00883069,7.24316,2.9415,32.9037,0.6365
"SAT1",0.285529,9.3498,1.49746,0.0953431,4.12702,7.43705,3.32712,0.157053,0.00845327,8.2249,3.17895,35.3474,0.27645
"SAT1",0.353847,9.39272,1.58149,0.0897334,3.94553,5.29146,2.55839,0.177694,0.00882002,8.16641,3.22012,35.5644,0.260125
"SAT1",0.219792,8.68153,1.65409,0.0937838,4.60233,6.76325,3.85618,0.142036,0.00768895,7.6468,3.10487,35.4104,0.397375
"SAT1",0.25691,8.83749,1.53371,0.104836,4.02539,6.41213,3.54184,0.171404,0.00715967,7.54524,3.3601,30.9721,0.370095
"SAT1",0.385548,8.58388,1.41821,0.101896,3.9391,5.82864,2.52255,0.204089,0.00753926,7.24694,3.1812,30.6099,0.1987
"SAT1",0.275263,9.16373,1.32461,0.0964373,3.71207,5.68954,3.00486,0.160433,0.00846726,7.97769,3.23347,33.6383,0.143475
"SAT1",0.344433,8.33708,1.97051,0.105621,5.41644,9.08757,3.64639,0.165979,0.00723225,7.3834,2.8785,31.6591,0.586
"SAT1",0.302249,10.5078,1.77359,0.097967,4.39708,10.1778,4.19916,0.214694,0.00713483,8.40701,3.6705,30.0492,0.6705
"SAT1",0.339627,9.75,1.61409,0.0956873,4.35604,6.08602,2.88363,0.189425,0.00821205,8.25488,3.12175,33.5731,0.29675
"SAT1",0.263771,8.14102,1.66933,0.0996321,4.50998,7.99828,3.75999,0.159132,0.00724542,7.1982,3.1075,32.8065,0.345
"SAT1",0.40066,10.6057,1.74788,0.0845365,4.44455,10.554,2.97097,0.183226,0.00776084,9.21257,3.1699,37.0769,0.4399
"SAT1",0.312807,8.4856,1.74829,0.101207,4.35185,6.138,3.20874,0.219573,0.0074934,7.35949,3.1674,30.5008,0.2524
"SAT1",0.25739,9.28763,1.56168,0.105076,3.78925,8.26772,3.71603,0.139046,0.00730783,7.93962,3.26157,32.3421,0.184075
"SAT1",0.226922,8.66107,1.65733,0.0941877,4.36574,6.8553,3.33933,0.184798,0.00808661,7.42708,3.20825,32.845,0.44825
"SAT1",0.294869,6.95469,1.57334,0.104378,5.01152,5.0595,3.35093,0.222788,0.00858175,6.13821,2.80358,30.1338,0.331075
"SAT1",0.288899,9.68396,1.66241,0.100984,4.49445,4.18396,3.38294,0.246514,0.00750807,7.90872,3.4274,29.0612,0.5724
"SAT1",0.224916,8.19314,1.58187,0.112562,4.93335,5.24816,3.63385,0.154643,0.00835452,7.29173,2.9475,31.3072,0.515
"SAT1",0.24059,7.91328,1.83561,0.0998069,4.89283,6.4919,3.45338,0.177966,0.00774434,6.83951,3.20033,30.9749,0.670325
"SAT1",0.488033,9.83021,1.56792,0.097151,3.76475,9.04059,3.18581,0.21249,0.00735907,7.91226,3.58325,29.5163,0.44325
"SAT1",0.36192,9.22003,1.54922,0.106657,3.67324,4.96836,3.02639,0.231209,0.00722172,7.06904,3.69232,27.1021,0.369825
"SAT1",0.223537,8.28219,1.67491,0.09087,4.63828,5.51634,3.35868,0.215795,0.007078,7.19977,3.06752,33.8401,0.382525
"SAT1",0.380167,9.16749,1.71858,0.101257,4.26877,6.56363,3.01805,0.140008,0.0067961,8.03403,3.205,34.0051,0.4075
"SAT1",0.346853,9.46078,1.68217,0.0889435,4.4347,7.78812,3.21136,0.146187,0.00546961,8.41399,3.12672,36.1098,0.324225
"SAT1",0.277661,9.0413,1.63854,0.102613,4.18834,5.00893,3.2166,0.159476,0.00715227,7.84207,3.08465,32.1804,0.22715
"SAT1",0.274988,8.42642,1.3411,0.106072,3.68531,5.39616,3.62438,0.19938,0.007307,7.00741,3.75825,28.5823,0.54075
"SAT1",0.327011,9.21123,1.66069,0.0937623,4.16865,8.27371,3.3592,0.206194,0.00789014,7.69419,3.25225,32.0522,0.39975
"SAT1",0.406939,7.5079,1.72235,0.11526,4.27192,6.04939,3.07052,0.157742,0.00759383,6.49981,3.11775,27.6669,0.25275
